joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-1.384689,2.007703,-3.007644,1.449208,-6.381904,5.396480,-2.745153,5.615053,1.173529,-2.140163,-4.030226,-0.055436,4.337765,2.991964,-1.117049,-2.643875,-2.461045,-1.507199,-1.163142,0.926551,0.000000,0.311215,3.088374,1.227927,-4.245634,0.759870,2.307434,0.506845,5.556531
-1.747465,1.085858,-2.926510,2.216766,-6.639201,4.530938,-3.278239,4.392587,0.555902,-1.156303,-5.661774,0.840641,4.489025,2.436627,-0.559611,-2.444433,-1.650801,-1.728115,-1.037633,1.246413,0.000000,0.139583,2.509874,1.119550,-4.505814,0.629705,1.865871,0.966350,5.475713
-2.473018,-0.757832,-2.764241,3.751881,-7.153796,2.799854,-4.344413,1.947653,-0.679353,0.811418,-8.924868,2.632796,4.791545,1.325954,0.555264,-2.045549,-0.030313,-2.169946,-0.786614,1.886137,0.000000,-0.203680,1.352874,0.902795,-5.026175,0.369375,0.982744,1.885360,5.314076
0.333281,-2.571220,-5.140270,4.034181,-6.159195,3.658103,-4.274972,2.529922,0.598434,-1.010019,-8.523023,3.713075,4.815801,2.192213,0.962005,-1.973666,0.577841,-2.638340,-0.761346,3.126941,0.000000,0.989095,0.104758,0.065890,-4.278550,0.944203,0.394000,1.430970,2.865500
1.736430,-3.477913,-6.328285,4.175331,-5.661895,4.087228,-4.240252,2.821057,1.237327,-1.920737,-8.322101,4.253214,4.827930,2.625343,1.165375,-1.937724,0.881917,-2.872537,-0.748712,3.747343,0.000000,1.585482,-0.519301,-0.352563,-3.904738,1.231618,0.099627,1.203775,1.641212
-0.598823,-2.521127,-5.515599,3.358337,-2.171275,-1.322476,-2.595052,3.447660,-1.025057,-1.679842,-6.682874,9.609176,5.703476,-0.625790,0.351512,1.059283,4.078410,-0.974311,1.964465,6.674826,0.000000,0.989842,-0.919129,-0.104687,-1.386008,-0.631092,-0.660732,0.955621,1.035284
0.588145,-3.167683,-5.862510,2.287013,-1.759073,-0.792632,-1.258870,2.817466,-0.298116,-0.573508,-5.945340,8.294982,5.616956,-1.019056,0.768091,0.394312,3.801650,-0.649541,1.554307,5.427694,0.000000,0.824934,-0.781710,-0.133613,-1.435290,-0.453775,-0.455874,0.408143,0.899732
2.962081,-4.460795,-6.556333,0.144365,-0.934668,0.267054,1.413494,1.557078,1.155766,1.639162,-4.470273,5.666596,5.443915,-1.805588,1.601251,-0.935630,3.248130,0.000000,0.733992,2.933432,0.000000,0.495118,-0.506873,-0.191464,-1.533855,-0.099140,-0.046158,-0.686814,0.628629
3.279607,-4.635644,-5.131939,-1.102380,0.530797,-0.088229,2.268637,1.035089,1.334305,0.223562,-3.538367,4.120345,5.025827,-3.313932,0.977788,-0.781523,3.154207,0.000000,0.244671,1.253124,0.000000,-0.102047,-0.572102,0.169404,-0.888214,-0.318516,-0.139611,-1.194729,0.370275
3.438370,-4.723068,-4.419742,-1.725753,1.263530,-0.265871,2.696208,0.774095,1.423575,-0.484239,-3.072413,3.347220,4.816782,-4.068104,0.666056,-0.704470,3.107246,0.000000,0.000011,0.412971,0.000000,-0.400629,-0.604717,0.349837,-0.565394,-0.428203,-0.186338,-1.448686,0.241098
2.865790,-5.678662,-1.573386,-4.161320,3.174825,-4.001126,5.935223,1.041205,0.974540,0.526671,-0.515233,2.813335,6.329132,-5.671027,-1.511488,1.526803,6.920868,1.897613,0.000000,1.558936,-0.700439,-1.081338,-2.667847,0.583442,0.463728,-0.676323,-0.772191,0.397575,-0.324786
2.322606,-7.691352,5.740571,-4.197969,4.402596,-4.649191,5.305238,1.733894,0.744121,0.025054,2.322793,3.032772,13.666877,-4.874697,-2.987720,8.082670,14.921704,1.723679,0.000000,4.057504,-9.066691,-1.593720,-1.424854,0.064303,-0.436620,-0.570150,-0.092287,-0.011203,-2.862305
1.236237,-11.716734,20.368484,-4.271265,6.858138,-5.945320,4.045269,3.119272,0.283282,-0.978180,7.998844,3.471646,28.342368,-3.282038,-5.940184,21.194404,30.923375,1.375812,0.000000,9.054641,-25.799196,-2.618483,1.061132,-0.973975,-2.237316,-0.357805,1.267521,-0.828760,-7.937342
3.256251,-3.904804,7.297102,-5.879310,7.313040,-3.225066,3.153884,-1.256843,0.094427,-4.735259,-3.310419,5.096839,8.886778,-1.907957,-0.363515,11.517485,11.047586,2.035043,0.000000,4.703532,-7.516528,1.791550,-2.795391,-1.852154,-0.238334,0.243708,-0.279337,-1.901093,-4.236628
4.266257,0.001161,0.761411,-6.683332,7.540492,-1.864939,2.708191,-3.444901,0.000000,-6.613798,-8.965051,5.909436,-0.841017,-1.220917,2.424820,6.679026,1.109691,2.364658,0.000000,2.527978,1.624805,3.996567,-4.723653,-2.291243,0.761157,0.544465,-1.052766,-2.437259,-2.386272
0.713814,-4.215113,0.014204,-3.304149,5.222806,-4.404593,0.041164,-1.176381,0.000000,-0.794354,1.771606,1.115509,-5.189162,-0.908021,-0.511258,2.394719,4.302615,0.865793,0.000000,-1.631309,3.741068,1.220537,-0.390283,-1.827879,1.950300,0.562011,0.128273,-4.298923,-1.338616
0.432329,-4.065108,-1.005441,-3.227252,5.056452,-4.356994,0.081032,-0.217749,0.000000,0.039057,2.743310,0.743674,-6.193616,-0.849504,-0.671608,1.520300,4.412868,0.879720,0.000000,-2.288303,2.984847,0.844581,-0.053476,-1.176281,2.773391,0.453937,0.053741,-4.717750,-2.003973
-0.130641,-3.765099,-3.044732,-3.073457,4.723743,-4.261797,0.160768,1.699514,0.000000,1.705880,4.686717,0.000004,-8.202524,-0.732472,-0.992310,-0.228539,4.633376,0.907573,0.000000,-3.602293,1.472406,0.092669,0.620137,0.126914,4.419573,0.237790,-0.095323,-5.555404,-3.334687
1.989267,-1.335423,-4.701502,-3.397233,3.890718,-4.737982,-0.972353,1.944371,0.000000,-1.010233,1.512946,0.000001,-8.148189,0.702111,-0.560899,-4.572296,4.453935,0.252739,-0.598854,-4.515646,2.047980,-3.904302,0.458757,0.333595,5.300311,-0.196919,-0.961576,-4.210833,-3.410024
3.049221,-0.120585,-5.529887,-3.559121,3.474206,-4.976074,-1.538914,2.066800,0.000000,-2.368289,-0.073940,0.000000,-8.121022,1.419402,-0.345193,-6.744175,4.364214,-0.074677,-0.898282,-4.972322,2.335768,-5.902787,0.378066,0.436935,5.740679,-0.414274,-1.394703,-3.538547,-3.447693
4.218444,0.989456,-1.812522,-3.650971,2.354649,-1.737115,-2.197240,3.723148,0.000000,-1.739227,0.068829,0.000000,-5.639208,-0.176783,-0.061635,-2.973293,1.992650,0.442811,-1.116370,-5.227010,-3.143463,-8.481122,-1.785629,0.643692,3.577109,-0.883253,-0.812906,-4.093312,-2.763402
4.835168,1.348315,-1.191038,-3.432092,1.907793,-1.206737,-2.333401,2.965344,0.000000,-1.532113,0.026670,-0.018566,-5.582643,-0.012976,0.207233,-2.691863,1.825270,0.298496,-1.031996,-5.012695,-3.436291,-7.966350,-1.672804,0.953088,1.726678,-0.937044,-0.440210,-3.643235,-2.533966
6.068614,2.066034,0.051931,-2.994333,1.014083,-0.145982,-2.605722,1.449737,0.000000,-1.117886,-0.057648,-0.055697,-5.469511,0.314637,0.744970,-2.129002,1.490511,0.009867,-0.863248,-4.584063,-4.021947,-6.936806,-1.447154,1.571879,-1.974185,-1.044624,0.305182,-2.743082,-2.075093
5.004277,2.219172,-0.183071,-1.092544,0.119854,0.278479,-0.309507,0.967448,-0.000079,1.258840,1.951112,-0.395088,-4.861260,-0.020875,-0.390062,-1.903515,0.938417,0.252432,-0.968288,-2.792783,-3.233726,-4.373658,-1.464263,1.039459,-2.507250,-0.338494,0.379563,-1.760099,-1.324452
4.472109,2.295740,-0.300572,-0.141650,-0.327260,0.490710,0.838600,0.726304,-0.000118,2.447203,2.955492,-0.564784,-4.557134,-0.188631,-0.957578,-1.790771,0.662370,0.373714,-1.020808,-1.897143,-2.839615,-3.092085,-1.472817,0.773249,-2.773783,0.014571,0.416753,-1.268608,-0.949132
2.247274,1.866691,1.548384,2.175963,-1.545444,22.771084,1.958031,-2.130067,0.000118,5.770873,4.063600,-50.112205,-1.796672,-0.231577,-2.273813,-35.088301,-17.136800,0.154282,-0.574776,-43.661821,2.915445,10.999119,1.135563,7.327790,-3.620195,2.871676,1.798721,5.391615,-2.455975
1.745799,2.436141,2.487425,2.945625,-2.017761,16.045130,1.993977,-2.839407,-0.016015,5.500496,2.644120,-35.010439,-1.497189,0.519937,-1.968575,-22.668425,-12.597424,0.080872,-0.858924,-28.665078,1.050542,7.388585,-0.192965,3.678687,-2.094613,1.552579,1.287712,3.941337,-1.827247
