body_0_vx,body_0_vy,body_0_vz
0.000000,0.000000,-0.000100
0.000000,0.000000,-0.000100
0.000000,0.000000,-0.000100
0.000000,0.000000,-0.000233
0.000000,0.000000,-0.000233
0.000000,0.000000,-0.000233
0.000000,0.000000,-0.000433
0.000000,0.000000,-0.000433
0.000000,0.000000,-0.000433
0.000000,0.000000,-0.000700
0.000000,0.000000,-0.000700
0.000000,0.000000,-0.000700
0.000000,0.000000,-0.001017
0.000000,0.000000,-0.001017
0.000000,0.000000,-0.001017
0.000000,0.000000,-0.001350
0.000000,0.000000,-0.001350
0.000000,0.000000,-0.001350
0.000000,0.000000,-0.001750
0.000000,0.000000,-0.001750
0.000000,0.000000,-0.001750
0.000000,0.000000,-0.002150
0.000000,0.000000,-0.002150
0.000000,0.000000,-0.002150
0.000000,0.000000,-0.002583
0.000000,0.000000,-0.002583
0.000000,0.000000,-0.002583
0.000000,0.000000,-0.003033
0.000000,0.000000,-0.003033
0.000000,0.000000,-0.003033
0.000000,0.000000,-0.003483
0.000000,0.000000,-0.003483
0.000000,0.000000,-0.003483
0.000000,0.000000,-0.003967
0.000000,0.000000,-0.003967
0.000000,0.000000,-0.003967
0.000000,0.000000,-0.006625
0.000000,0.000000,-0.006625
0.000000,0.000000,-0.007325
0.000000,0.000000,-0.007325
0.000000,0.000000,-0.008025
0.000000,0.000000,-0.008025
0.000000,0.000000,-0.008675
0.000000,0.000000,-0.008675
0.000000,0.000000,-0.009300
0.000000,0.000000,-0.009300
0.000000,0.000000,-0.009925
0.000000,0.000000,-0.009925
0.000000,0.000000,-0.010500
0.000000,0.000000,-0.010500
0.000000,0.000000,-0.011025
0.000000,0.000000,-0.011025
0.000000,0.000000,-0.011550
0.000000,0.000000,-0.011550
0.000000,0.000000,-0.011975
0.000000,0.000000,-0.011975
0.000000,0.000000,-0.012375
0.000000,0.000000,-0.012375
0.000000,0.000000,-0.012750
0.000000,0.000000,-0.012750
0.000000,0.000000,-0.013025
0.000000,0.000000,-0.013025
0.000000,0.000000,-0.013250
0.000000,0.000000,-0.013250
0.000000,0.000000,-0.013450
0.000000,0.000000,-0.013450
0.000000,0.000000,-0.013575
0.000000,0.000000,-0.013575
0.000000,0.000000,-0.013625
0.000000,0.000000,-0.013625
0.000000,0.000000,-0.013625
0.000000,0.000000,-0.013625
0.000000,0.000000,-0.013550
0.000000,0.000000,-0.013550
0.000000,0.000000,-0.013450
0.000000,0.000000,-0.013450
0.000000,0.000000,-0.013275
0.000000,0.000000,-0.013275
0.000000,0.000000,-0.013025
0.000000,0.000000,-0.013025
0.000000,0.000000,-0.012725
0.000000,0.000000,-0.012725
0.000000,0.000000,-0.012400
0.000000,0.000000,-0.012400
0.000000,0.000000,-0.011975
0.000000,0.000000,-0.011975
0.000000,0.000000,-0.011525
0.000000,0.000000,-0.011525
0.000000,0.000000,-0.011050
0.000000,0.000000,-0.011050
0.000000,0.000000,-0.010500
0.000000,0.000000,-0.010500
0.000000,0.000000,-0.009925
0.000000,0.000000,-0.009925
0.000000,0.000000,-0.009300
0.000000,0.000000,-0.009300
0.000000,0.000000,-0.008675
0.000000,0.000000,-0.008675
0.000000,0.000000,-0.008000
0.000000,0.000000,-0.008000
0.000000,0.000000,-0.007325
0.000000,0.000000,-0.007325
0.000000,0.000000,-0.006650
0.000000,0.000000,-0.006650
0.000000,0.000000,-0.005925
0.000000,0.000000,-0.005925
0.000000,0.000000,-0.005250
0.000000,0.000000,-0.005250
0.000000,0.000000,-0.004525
0.000000,0.000000,-0.004525
0.000000,0.000000,-0.003900
0.000000,0.000000,-0.003900
0.000000,0.000000,-0.003225
0.000000,0.000000,-0.003225
0.000000,0.000000,-0.002600
0.000000,0.000000,-0.002600
0.000000,0.000000,-0.002050
0.000000,0.000000,-0.002050
0.000000,0.000000,-0.001500
0.000000,0.000000,-0.001500
0.000000,0.000000,-0.001050
0.000000,0.000000,-0.001050
0.000000,0.000000,-0.000675
0.000000,0.000000,-0.000675
0.000000,0.000000,-0.000350
0.000000,0.000000,-0.000350
0.000000,0.000000,-0.000125
0.000000,0.000000,-0.000125
0.000000,0.000000,-0.000025
0.000000,0.000000,-0.000025
