index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
199,3979.988,1786877234607.472,12022425.407,0.000000000,2.287257195,12.872784615,-5.731503963,-29.603382111,15.033984184,-5.602571487,8.191150665,-0.788399518,-0.807945669,-14.864244461,-5.132560253,-3.936848879,0.856264710,-3.748416662,-15.273902893,-3.585565090,4.121344090,3.023665190,-1.310030460,-0.659567475,-0.389865905,0.852481544,1.088608265,-4.826224804,-1.720876336,0.037930183,0.408397585,-0.045749187,-0.343498975
200,3999.988,1786877234627.473,12022445.408,0.000000000,4.420020103,11.679605484,-5.632238388,-26.829496384,16.860036850,-5.473561764,6.308463573,-0.804488122,0.004517805,-14.910923958,-5.028108120,-3.780836821,1.081437945,-2.337701321,-14.658538818,-3.346561432,3.786963701,2.778242350,-1.140287995,-0.560604811,-0.320794851,0.754106283,0.698493421,-5.038293839,-1.740152597,0.074120179,0.349315137,-0.057751585,-0.323757708
201,4019.988,1786877234647.472,12022465.407,0.000000000,6.120066166,10.263357162,-5.182682991,-27.030586243,18.473358154,-5.668308258,5.318637848,-0.764145672,-0.135934874,-15.847180367,-5.263956070,-3.758438826,0.276633441,-0.506257892,-14.831343651,-3.519703388,3.743591547,2.506289959,-1.423700571,-0.580450356,-0.382168382,0.692810059,0.834246814,-5.036168098,-1.629532218,-0.210250989,0.327214241,-0.116677836,-0.279710263
202,4039.990,1786877234667.474,12022485.409,0.000000000,8.272039413,10.160480499,-5.387741089,-23.595729828,21.275049210,-5.967273712,3.635452509,-1.209910870,0.168541357,-14.270055771,-4.556978226,-3.437462091,0.837682188,-0.397219598,-13.658436775,-2.445173264,3.625730991,2.396165371,-0.720019341,-0.576960862,-0.239328057,0.649948776,0.496751547,-4.812211037,-1.671560526,-0.303356081,0.227948785,-0.203150898,-0.227303907
203,4059.989,1786877234687.473,12022505.408,0.000000000,7.164372921,9.398834229,-7.179182529,-24.855152130,23.915283203,-5.881172180,4.120327473,-0.849495947,1.174206257,-13.295966148,-4.664146900,-3.294789553,1.586971879,-0.752832532,-12.913569450,-0.324092478,3.748408556,1.746997714,0.173132420,-0.395772219,-0.045995131,0.546899378,0.269311160,-4.622988701,-1.575945973,-0.565063000,0.204308867,-0.358413815,-0.240824461
204,4079.991,1786877234707.475,12022525.410,0.000000000,9.520349503,7.998053074,-7.456951141,-22.691646576,24.727054596,-5.872242928,2.989029408,-1.583030939,0.030817414,-14.651566505,-1.767295957,-3.770876169,1.876949906,-0.521557093,-13.405033112,-0.608234048,4.001018524,1.918639421,-0.329685986,-0.341588080,0.053306378,0.410865724,0.389293492,-4.305500031,-1.798410177,-0.505903780,-0.062992036,-0.431185037,-0.284647048
205,4099.990,1786877234727.474,12022545.409,0.000000000,12.502530098,7.559576035,-7.934228420,-18.310152054,27.164846420,-6.050853252,0.261512309,-0.909651756,-0.062728792,-13.551751137,0.233036384,-3.343324661,3.244953871,-0.830504775,-12.728433609,-0.367639065,4.144683838,1.839828372,0.319013685,-0.457644820,0.111221679,0.444951594,-0.564871371,-4.551136494,-1.822370172,-0.727312267,-0.120855041,-0.469976097,-0.304711521
206,4119.988,1786877234747.472,12022565.407,0.000000000,14.710243225,7.740523815,-9.422489166,-17.815116882,30.524183273,-6.500933170,-0.391504228,-0.133978248,-0.135020807,-14.806150436,0.378880888,-2.913660526,4.852409363,-1.108616829,-13.212730408,0.468274653,3.868260145,1.689880848,0.483656257,-0.704561591,0.301812112,0.494490027,-1.215683579,-4.815048218,-1.770759225,-1.318312645,0.074973628,-0.589383006,-0.350632668
207,4139.994,1786877234767.478,12022585.413,0.000000000,15.846481323,8.061135292,-11.127593994,-18.319025040,30.581340790,-6.138403893,-1.241592526,-5.557219982,1.126493454,-18.778718948,0.568304181,-3.315525055,3.731214046,-1.658503532,-14.150678635,0.552499890,3.404790640,1.146332026,0.461792827,-0.355252862,0.322956532,0.395168871,-1.287454844,-4.646536350,-1.967079520,-1.157606721,0.120488338,-0.659204066,-0.435520738
208,4159.988,1786877234787.473,12022605.408,0.000000000,16.101980209,7.819751263,-13.491643906,-18.868602753,27.103235245,-5.340643406,1.369477034,-7.951735973,4.322284222,-25.978504181,-1.046641827,-4.381116390,5.625383377,-2.646741390,-14.227236748,0.963369966,3.632855892,0.945718467,0.973400712,-0.535462201,0.410486609,0.410329312,-1.317101121,-4.959335327,-1.880618095,-1.295106530,0.116672002,-0.651126385,-0.549752355
