index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,playing_0
264,5279.987,1786879981809.419,14769627.354,0.000000000,1.000000000
265,5299.989,1786879981829.421,14769647.356,0.000000000,1.000000000
266,5319.989,1786879981849.422,14769667.357,0.000000000,1.000000000
267,5339.988,1786879981869.420,14769687.355,0.000000000,1.000000000
268,5359.995,1786879981889.428,14769707.363,0.000000000,1.000000000
269,5379.990,1786879981909.422,14769727.357,0.000000000,1.000000000
270,5399.988,1786879981929.420,14769747.355,0.000000000,1.000000000
271,5419.989,1786879981949.422,14769767.357,0.000000000,1.000000000
272,5439.990,1786879981969.422,14769787.357,0.000000000,1.000000000
273,5459.985,1786879981989.417,14769807.352,0.000000000,1.000000000
274,5479.988,1786879982009.420,14769827.355,0.000000000,1.000000000
275,5499.990,1786879982029.422,14769847.357,0.000000000,1.000000000
276,5519.993,1786879982049.425,14769867.360,0.000000000,1.000000000
277,5539.988,1786879982069.420,14769887.355,0.000000000,1.000000000
278,5559.985,1786879982089.417,14769907.352,0.000000000,1.000000000
279,5579.986,1786879982109.418,14769927.353,0.000000000,1.000000000
280,5599.990,1786879982129.423,14769947.357,0.000000000,1.000000000
281,5619.989,1786879982149.421,14769967.356,0.000000000,1.000000000
282,5639.991,1786879982169.423,14769987.358,0.000000000,1.000000000
283,5659.990,1786879982189.423,14770007.357,0.000000000,1.000000000
284,5679.990,1786879982209.422,14770027.357,0.000000000,1.000000000
285,5699.988,1786879982229.420,14770047.355,0.000000000,1.000000000
286,5719.988,1786879982249.420,14770067.355,0.000000000,1.000000000
287,5739.989,1786879982269.421,14770087.356,0.000000000,1.000000000
288,5759.987,1786879982289.419,14770107.354,0.000000000,1.000000000
289,5779.988,1786879982309.420,14770127.355,0.000000000,1.000000000
290,5799.988,1786879982329.420,14770147.355,0.000000000,1.000000000
291,5819.990,1786879982349.422,14770167.357,0.000000000,1.000000000
292,5839.988,1786879982369.420,14770187.355,0.000000000,1.000000000
293,5859.988,1786879982389.420,14770207.355,0.000000000,1.000000000
294,5879.988,1786879982409.421,14770227.356,0.000000000,1.000000000
295,5899.989,1786879982429.421,14770247.356,0.000000000,1.000000000
296,5919.984,1786879982449.417,14770267.352,0.000000000,1.000000000
297,5939.988,1786879982469.420,14770287.355,0.000000000,1.000000000
298,5959.987,1786879982489.420,14770307.355,0.000000000,1.000000000
299,5979.986,1786879982509.418,14770327.353,0.000000000,1.000000000
300,5999.987,1786879982529.420,14770347.355,0.000000000,1.000000000
301,6019.987,1786879982549.420,14770367.355,0.000000000,1.000000000
302,6039.986,1786879982569.419,14770387.354,0.000000000,1.000000000
303,6059.987,1786879982589.420,14770407.355,0.000000000,1.000000000
304,6079.986,1786879982609.418,14770427.353,0.000000000,1.000000000
305,6099.986,1786879982629.419,14770447.354,0.000000000,1.000000000
306,6119.988,1786879982649.421,14770467.356,0.000000000,1.000000000
307,6139.987,1786879982669.419,14770487.354,0.000000000,1.000000000
308,6159.987,1786879982689.419,14770507.354,0.000000000,1.000000000
309,6179.987,1786879982709.420,14770527.355,0.000000000,1.000000000
310,6199.989,1786879982729.422,14770547.357,0.000000000,1.000000000
311,6219.989,1786879982749.421,14770567.356,0.000000000,1.000000000
312,6239.989,1786879982769.421,14770587.356,0.000000000,1.000000000
313,6259.989,1786879982789.421,14770607.357,0.000000000,1.000000000
314,6279.990,1786879982809.423,14770627.358,0.000000000,1.000000000
315,6299.988,1786879982829.420,14770647.355,0.000000000,1.000000000
316,6319.992,1786879982849.425,14770667.360,0.000000000,1.000000000
317,6339.989,1786879982869.421,14770687.356,0.000000000,1.000000000
318,6359.996,1786879982889.428,14770707.363,0.000000000,1.000000000
319,6379.991,1786879982909.424,14770727.359,0.000000000,1.000000000
320,6399.988,1786879982929.420,14770747.355,0.000000000,1.000000000
321,6419.987,1786879982949.420,14770767.355,0.000000000,1.000000000
322,6439.988,1786879982969.420,14770787.355,0.000000000,1.000000000
323,6459.989,1786879982989.421,14770807.356,0.000000000,1.000000000
324,6479.992,1786879983009.425,14770827.360,0.000000000,1.000000000
325,6499.989,1786879983029.421,14770847.356,0.000000000,1.000000000
326,6519.994,1786879983049.426,14770867.361,0.000000000,1.000000000
327,6539.988,1786879983069.420,14770887.355,0.000000000,1.000000000
328,6559.987,1786879983089.419,14770907.354,0.000000000,1.000000000
329,6579.987,1786879983109.419,14770927.354,0.000000000,1.000000000
330,6599.986,1786879983129.418,14770947.353,0.000000000,1.000000000
331,6619.987,1786879983149.419,14770967.354,0.000000000,1.000000000
332,6639.985,1786879983169.417,14770987.352,0.000000000,1.000000000
333,6659.989,1786879983189.421,14771007.356,0.000000000,1.000000000
334,6679.990,1786879983209.422,14771027.357,0.000000000,1.000000000
335,6699.987,1786879983229.419,14771047.354,0.000000000,1.000000000
336,6719.988,1786879983249.421,14771067.356,0.000000000,1.000000000
337,6739.988,1786879983269.420,14771087.355,0.000000000,1.000000000
338,6759.986,1786879983289.418,14771107.353,0.000000000,1.000000000
339,6779.986,1786879983309.419,14771127.354,0.000000000,1.000000000
340,6799.988,1786879983329.421,14771147.356,0.000000000,1.000000000
341,6819.987,1786879983349.420,14771167.355,0.000000000,1.000000000
342,6839.988,1786879983369.421,14771187.356,0.000000000,1.000000000
343,6859.984,1786879983389.416,14771207.351,0.000000000,1.000000000
344,6879.987,1786879983409.420,14771227.355,0.000000000,1.000000000
345,6899.988,1786879983429.420,14771247.355,0.000000000,1.000000000
346,6919.988,1786879983449.420,14771267.355,0.000000000,1.000000000
347,6939.986,1786879983469.418,14771287.353,0.000000000,1.000000000
348,6959.985,1786879983489.417,14771307.352,0.000000000,1.000000000
349,6979.986,1786879983509.419,14771327.354,0.000000000,1.000000000
350,6999.984,1786879983529.416,14771347.351,0.000000000,1.000000000
351,7019.986,1786879983549.418,14771367.353,0.000000000,1.000000000
352,7039.990,1786879983569.422,14771387.357,0.000000000,1.000000000
353,7059.987,1786879983589.420,14771407.355,0.000000000,1.000000000
354,7079.997,1786879983609.429,14771427.364,0.000000000,1.000000000
355,7099.991,1786879983629.423,14771447.358,0.000000000,1.000000000
356,7119.989,1786879983649.422,14771467.357,0.000000000,1.000000000
357,7139.989,1786879983669.421,14771487.356,0.000000000,1.000000000
358,7159.989,1786879983689.421,14771507.356,0.000000000,1.000000000
359,7179.989,1786879983709.421,14771527.357,0.000000000,1.000000000
360,7199.987,1786879983729.419,14771547.354,0.000000000,1.000000000
